
3333,	-0.04,	-0.07,	0.10,	276.19,	1.06,	-8.81,	1394914
3333,	-0.11,	-0.05,	0.20,	276.31,	1.12,	-8.31,	1394930
3333,	-0.10,	-0.18,	-0.03,	276.63,	1.19,	-7.81,	1394949
3333,	0.00,	-0.08,	-0.39,	276.88,	1.37,	-7.63,	1394964
3333,	0.01,	-0.50,	0.06,	277.00,	1.50,	-7.44,	1394980
3333,	-0.15,	-0.23,	-0.04,	277.25,	1.63,	-6.81,	1394999
3333,	0.08,	-0.06,	0.02,	277.50,	1.69,	-6.44,	1395014
3333,	-0.12,	-0.13,	0.31,	277.44,	1.63,	-6.38,	1395031
3333,	0.00,	-0.27,	0.16,	277.50,	1.31,	-6.31,	1395049
3333,	-0.23,	0.08,	-0.82,	277.63,	0.50,	-5.69,	1395064
3333,	-0.07,	-0.13,	-0.45,	277.75,	0.31,	-5.06,	1395081
3333,	0.05,	-0.48,	-0.22,	278.13,	0.19,	-3.75,	1395099
3333,	0.03,	-0.30,	0.04,	278.31,	0.31,	-2.75,	1395115
3333,	0.07,	-0.44,	0.09,	278.31,	0.31,	-2.06,	1395131
3333,	-0.01,	-0.33,	0.00,	278.31,	-0.31,	-0.12,	1395148
3333,	-0.20,	-0.20,	-0.14,	278.31,	-1.88,	1.69,	1395165
3333,	-0.28,	-0.36,	-0.34,	278.31,	-2.88,	2.50,	1395181
3333,	-0.01,	-0.43,	0.13,	278.19,	-4.50,	4.13,	1395200
3333,	-0.21,	-0.18,	-0.15,	278.38,	-5.38,	5.94,	1395215
3333,	-0.14,	-0.22,	-0.02,	278.50,	-5.75,	6.50,	1395231
3333,	-0.07,	-0.05,	-0.03,	278.75,	-6.69,	7.13,	1395249
3333,	0.10,	-0.16,	-0.22,	278.50,	-7.38,	7.25,	1395265
3333,	0.05,	-0.12,	-0.17,	278.38,	-7.50,	7.06,	1395280
3333,	-0.01,	-0.30,	-0.05,	278.31,	-7.44,	6.69,	1395299
3333,	0.03,	-0.29,	-0.22,	278.13,	-7.44,	6.44,	1395315
3333,	-0.05,	-0.30,	-0.20,	278.00,	-7.50,	6.44,	1395331
3333,	-0.09,	-0.31,	0.03,	277.88,	-7.56,	6.56,	1395349
3333,	-0.08,	-0.17,	-0.06,	277.88,	-7.50,	6.63,	1395365
3333,	-0.07,	-0.13,	0.02,	277.88,	-7.38,	6.63,	1395381
3333,	0.05,	-0.09,	0.19,	277.94,	-7.13,	6.56,	1395399
3333,	-0.01,	-0.06,	0.14,	278.06,	-6.94,	6.38,	1395415
3333,	0.03,	-0.16,	0.23,	278.06,	-6.81,	6.38,	1395431
3333,	-0.19,	-0.05,	0.08,	278.06,	-6.63,	6.69,	1395449
3333,	-0.06,	-0.10,	-0.18,	277.94,	-6.31,	7.06,	1395465
3333,	0.00,	-0.08,	-0.03,	277.94,	-6.19,	7.19,	1395481
3333,	-0.01,	-0.17,	-0.06,	277.94,	-6.00,	7.19,	1395500
3333,	0.00,	-0.25,	0.14,	278.00,	-5.88,	7.31,	1395515
3333,	0.05,	-0.31,	0.22,	278.00,	-5.75,	7.44,	1395531
3333,	-0.01,	0.00,	0.20,	278.13,	-5.38,	7.75,	1395550
3333,	0.00,	-0.16,	-0.38,	278.00,	-4.81,	8.00,	1395565
3333,	0.00,	-0.20,	-0.37,	277.88,	-4.56,	8.13,	1395581
3333,	-0.09,	-0.14,	-0.18,	277.75,	-4.13,	8.25,	1395600
3333,	0.06,	-0.09,	-0.22,	277.75,	-3.88,	8.13,	1395615
3333,	0.05,	-0.02,	-0.33,	277.75,	-3.81,	8.00,	1395632
3333,	0.06,	0.00,	-0.27,	277.88,	-3.50,	7.88,	1395650
3333,	0.07,	-0.17,	-0.16,	277.94,	-3.25,	7.94,	1395665
3333,	0.05,	-0.13,	-0.10,	277.88,	-3.19,	8.00,	1395682
3333,	-0.03,	-0.01,	-0.02,	277.81,	-3.13,	8.13,	1395700
3333,	-0.06,	-0.07,	-0.21,	277.81,	-3.06,	8.13,	1395716
3333,	-0.05,	-0.06,	-0.34,	277.75,	-3.19,	8.06,	1395732
3333,	-0.02,	-0.01,	-0.03,	277.69,	-3.38,	8.00,	1395750
3333,	0.01,	-0.31,	0.03,	277.75,	-3.38,	7.94,	1395766
3333,	0.03,	-0.25,	0.04,	277.75,	-3.31,	7.94,	1395782
3333,	-0.06,	-0.01,	-0.02,	277.94,	-3.38,	7.88,	1395800
3333,	-0.16,	-0.15,	0.05,	278.06,	-3.56,	7.81,	1395816
3333,	-0.14,	-0.12,	0.06,	278.06,	-3.69,	7.81,	1395832
3333,	-0.05,	-0.05,	-0.11,	278.06,	-3.88,	7.81,	1395850
3333,	-0.07,	-0.02,	-0.30,	278.25,	-4.00,	7.63,	1395866
3333,	-0.05,	-0.11,	-0.24,	278.38,	-4.06,	7.50,	1395883
3333,	-0.14,	-0.36,	0.42,	278.63,	-4.38,	7.00,	1395900
3333,	-0.64,	0.18,	-0.29,	278.56,	-4.75,	6.25,	1395916
3333,	-0.48,	0.00,	-0.22,	278.63,	-4.94,	5.75,	1395933
3333,	-0.32,	0.15,	-0.22,	278.94,	-5.25,	4.75,	1395950
3333,	0.14,	0.11,	-0.19,	279.63,	-5.63,	3.88,	1395966
3333,	-0.06,	-0.14,	-0.02,	280.06,	-5.94,	3.38,	1395982
3333,	0.35,	-0.18,	0.00,	280.63,	-6.81,	3.00,	1396000
3333,	0.17,	0.00,	-0.76,	281.19,	-7.88,	4.00,	1396017
3333,	-0.12,	0.06,	-0.07,	281.38,	-8.19,	4.31,	1396032
3333,	-0.08,	-0.05,	0.11,	281.69,	-8.50,	4.44,	1396050
3333,	-0.10,	0.10,	0.10,	281.88,	-8.56,	4.19,	1396066
3333,	-0.13,	0.16,	0.26,	282.00,	-8.63,	4.06,	1396082
3333,	-0.09,	0.15,	0.19,	282.19,	-8.88,	4.19,	1396101
3333,	-0.17,	-0.14,	0.01,	282.44,	-9.38,	4.25,	1396116
3333,	-0.05,	-0.23,	0.09,	282.50,	-9.69,	4.19,	1396132
3333,	0.01,	-0.06,	-0.13,	282.63,	-10.19,	4.13,	1396151
3333,	0.03,	0.02,	-0.19,	282.81,	-10.69,	4.06,	1396166
3333,	-0.08,	0.10,	-0.13,	282.94,	-10.94,	4.00,	1396183
3333,	-0.06,	0.01,	-0.08,	283.00,	-11.25,	3.94,	1396201
3333,	0.06,	-0.05,	0.10,	282.88,	-11.50,	3.81,	1396216
3333,	0.06,	-0.01,	0.06,	282.88,	-11.75,	3.69,	1396233
3333,	-0.07,	-0.23,	-0.05,	283.19,	-12.44,	3.44,	1396251
3333,	-0.01,	-0.29,	-0.02,	283.44,	-13.31,	3.19,	1396267
3333,	-0.08,	0.07,	0.11,	283.56,	-13.94,	3.00,	1396283
3333,	-0.10,	-0.03,	0.12,	283.81,	-15.44,	2.94,	1396301
3333,	0.05,	-0.07,	0.10,	283.50,	-17.25,	2.63,	1396317
3333,	0.32,	-0.13,	-0.01,	283.44,	-18.12,	2.25,	1396333
3333,	-0.15,	0.38,	-0.13,	283.50,	-19.94,	1.50,	1396352
3333,	-0.13,	-0.15,	0.08,	283.56,	-21.62,	1.12,	1396367
3333,	-0.12,	-0.09,	0.03,	283.56,	-22.44,	0.94,	1396383
3333,	0.07,	-0.28,	0.30,	283.69,	-24.12,	0.75,	1396402
3333,	-0.03,	-0.14,	0.30,	283.50,	-25.56,	0.63,	1396417
3333,	0.14,	-0.02,	0.09,	283.38,	-26.31,	0.50,	1396433
3333,	0.12,	-0.26,	0.03,	283.25,	-27.75,	0.56,	1396452
3333,	0.00,	-0.16,	-0.21,	283.13,	-29.37,	0.75,	1396467
3333,	-0.41,	0.18,	-0.01,	283.00,	-30.19,	0.88,	1396484
3333,	0.16,	-0.19,	0.12,	283.06,	-31.31,	1.06,	1396502
3333,	-0.22,	0.06,	0.13,	283.50,	-32.63,	1.00,	1396517
3333,	-0.13,	0.22,	0.00,	283.81,	-33.44,	0.88,	1396534
3333,	0.49,	-0.24,	-0.24,	284.56,	-35.25,	0.50,	1396552
3333,	0.00,	0.13,	-0.37,	285.50,	-37.00,	0.50,	1396568
3333,	-0.22,	0.30,	-0.73,	286.00,	-37.94,	0.75,	1396584
3333,	0.04,	0.29,	-0.15,	286.88,	-39.88,	1.31,	1396601
3333,	-0.68,	-0.43,	-0.65,	288.00,	-42.00,	2.31,	1396618
3333,	0.09,	0.11,	-0.71,	288.50,	-42.94,	2.81,	1396634
3333,	0.49,	-0.80,	-1.13,	289.50,	-44.13,	3.25,	1396652
3333,	0.37,	-0.22,	-0.20,	289.81,	-45.19,	2.81,	1396668
3333,	0.10,	0.05,	-0.07,	289.94,	-45.63,	2.63,	1396684
3333,	0.40,	-0.22,	-0.08,	290.44,	-46.56,	2.50,	1396702
3333,	0.24,	-0.33,	0.26,	290.69,	-47.63,	2.63,	1396718
3333,	0.07,	-0.35,	0.38,	290.63,	-48.38,	2.81,	1396733
3333,	0.18,	-0.22,	-0.16,	290.50,	-49.81,	3.00,	1396752
3333,	0.02,	-0.57,	-0.28,	290.06,	-51.31,	2.56,	1396768
3333,	0.00,	-0.40,	-0.10,	289.75,	-52.00,	2.25,	1396784
3333,	0.21,	0.12,	0.28,	288.63,	-53.88,	0.56,	1396802
3333,	-0.48,	-0.38,	0.46,	287.63,	-56.88,	-2.44,	1396818
3333,	-0.41,	-0.42,	0.26,	287.06,	-58.56,	-4.56,	1396834
3333,	-0.62,	-0.29,	-0.07,	285.88,	-62.13,	-10.81,	1396852
3333,	0.21,	0.25,	0.37,	284.31,	-65.87,	-20.87,	1396869
3333,	0.63,	-0.04,	0.35,	283.50,	-67.62,	-26.50,	1396884
3333,	0.31,	-0.85,	-0.66,	281.75,	-70.56,	-38.31,	1396902
3333,	0.12,	-0.87,	-0.71,	279.75,	-71.94,	-52.63,	1396919
3333,	0.13,	-1.22,	-0.57,	278.88,	-71.94,	-57.38,	1396934
3333,	0.06,	-0.31,	-0.52,	277.19,	-71.12,	-63.56,	1396953
3333,	0.89,	-0.15,	-0.51,	275.75,	-69.62,	-68.31,	1396969
3333,	0.86,	-0.01,	-0.01,	275.00,	-4.81,	-0.06,	1396984
3333,	-0.22,	-0.57,	-0.11,	273.94,	-67.50,	-71.81,	1397002
3333,	-1.90,	0.45,	-0.57,	272.88,	-66.06,	-74.75,	1397017
3333,	-0.08,	1.00,	0.48,	272.69,	-0.06,	-0.06,	1397033
3333,	1.32,	0.13,	0.94,	272.13,	-65.75,	-75.87,	1397051
3333,	1.29,	0.52,	-2.79,	272.13,	-66.00,	-76.00,	1397067
3333,	0.35,	-0.60,	0.91,	271.69,	-65.75,	-76.87,	1397084
3333,	1.87,	1.59,	0.34,	271.00,	-66.25,	-78.06,	1397103
3333,	0.46,	-0.24,	0.25,	271.50,	-67.25,	-79.44,	1397118
3333,	-0.32,	-0.62,	0.09,	271.69,	-67.62,	-80.12,	1397135
3333,	-0.07,	-1.00,	-0.55,	272.56,	-68.56,	-82.12,	1397153
3333,	0.55,	0.14,	-0.12,	273.19,	-70.00,	-83.12,	1397169
3333,	0.14,	-0.20,	-0.59,	273.31,	-70.75,	-83.37,	1397185
